epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,3570.9,1.26389,0.94539,1.23297,0.79055,0.71578,0.78738,0.47028,1.33917,0.94315,1.26667,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3633.03,1.26709,0.94922,1.24068,0.78519,0.72192,0.78922,0.47028,1.33772,0.93964,1.26596,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3695.08,1.26347,0.94449,1.23438,0.79114,0.71586,0.78928,0.46943,1.33876,0.93296,1.26624,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3757.2,1.25691,0.93474,1.22626,0.79732,0.71339,0.78938,0.47011,1.34019,0.93558,1.26755,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3819.32,1.25542,0.93511,1.23205,0.79229,0.71461,0.78988,0.47036,1.34085,0.93784,1.26937,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3881.4,1.24018,0.92272,1.22355,0.79129,0.71232,0.79096,0.47023,1.34349,0.93725,1.27046,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3943.37,1.24612,0.91385,1.22091,0.78938,0.71594,0.79257,0.47018,1.34586,0.93659,1.27113,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4005.63,1.23773,0.9091,1.21631,0.78993,0.71846,0.79083,0.4702,1.34556,0.93549,1.27128,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4067.67,1.23446,0.89879,1.21641,0.7835,0.72425,0.79108,0.46977,1.34533,0.93166,1.27172,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4129.71,1.22462,0.89426,1.21146,0.78499,0.72716,0.79114,0.46975,1.34484,0.92995,1.27139,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4191.83,1.22419,0.88522,1.21195,0.7884,0.72724,0.79129,0.47074,1.34378,0.92444,1.27028,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4253.89,1.22342,0.88983,1.20605,0.78835,0.72622,0.79165,0.4706,1.34503,0.92038,1.2721,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4315.87,1.21248,0.87024,1.20242,0.78715,0.72681,0.79164,0.47012,1.34361,0.91891,1.27104,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
